departure,dep_iata,dep_scheduled,dep_actual,terminal_gate,arrival,arr_iata,arr_scheduled,dep_actual,terminal_gate,carrier_code,carrier,flight,status
Frankfurt,FRA,07:52,08:04,Station/T05,Mannheim Central Station,MHJ,08:23,08:42,,2A,Deutsche Bahn AG,2A3430,Flight Landed
Frankfurt,FRA,07:55,08:05,1/B03,Pisa,PSA,09:20,09:34,,EN,Air Dolomiti,EN8870,Flight Landed
Frankfurt,FRA,08:00,08:07,1/A19,Hamburg,HAM,09:05,09:07,,LH,Lufthansa,LH006,Flight Landed
Frankfurt,FRA,08:00,08:09,1/B27,London Heathrow,LHR,08:45,08:46,,LH,Lufthansa,LH900,Flight Landed
Frankfurt,FRA,08:09,08:22,Station/T06,Cologne central station,QKL,09:04,09:21,,2A,Deutsche Bahn AG,2A3602,Flight Landed
Frankfurt,FRA,08:10,08:15,1/A36,Bologna,BLQ,09:30,09:31,,LH,Lufthansa,LH282,Flight Landed
Frankfurt,FRA,08:10,08:06,1/A30,Copenhagen,CPH,09:35,09:28,,EW,Eurowings,EW824,Flight Landed
Frankfurt,FRA,08:10,08:39,1/A40,Marseille,MRS,09:40,10:08,,EW,Eurowings,EW1086,Flight Landed
Frankfurt,FRA,08:15,08:11,1/B04,Florence,FLR,09:40,09:42,,EN,Air Dolomiti,EN8852,Flight Landed
Frankfurt,FRA,08:15,08:13,1/A50,Munich,MUC,09:10,08:54,2/G82,CL,Lufthansa Cityline,CL096,Flight Landed
Frankfurt,FRA,08:15,08:20,1/A16,Krakow,KRK,09:45,09:53,,EW,Eurowings,EW1364,Flight Landed
Frankfurt,FRA,08:24,08:35,Station/T07,Dusseldorf Main Rail Station,QDU,09:36,10:18,,2A,Deutsche Bahn AG,2A3500,Flight Landed
Frankfurt,FRA,08:25,08:32,1/A18,Paris/ Ch.de Gaulle,CDG,09:40,09:39,2B/D50,LH,Lufthansa,LH1028,Flight Landed
Frankfurt,FRA,08:25,08:30,1/A34,Nice,NCE,09:55,09:59,,EW,Eurowings,EW1058,Flight Landed
Frankfurt,FRA,08:30,08:37,Station/T06,Cologne central station,QKL,09:33,09:41,,2A,Deutsche Bahn AG,2A3532,Flight Landed
Frankfurt,FRA,08:30,,1/SQAIR,Strasbourg Bus Station,XER,11:00,,,YY,,YY3754,No Status
Frankfurt,FRA,08:36,08:53,Station/T04,Wuerzburg Rail Station,QWU,10:01,10:20,,2A,Deutsche Bahn AG,2A3460,Flight Landed
Frankfurt,FRA,08:40,08:41,1/B02,Graz,GRZ,09:55,09:56,,EN,Air Dolomiti,EN8060,Flight Landed
Frankfurt,FRA,08:41,08:49,Station/T06,Kassel Wilhelmshoehe Railway Station,KWQ,10:19,10:29,,2A,Deutsche Bahn AG,2A3710,Flight Landed
Frankfurt,FRA,08:42,08:48,Station/T07,Dusseldorf Main Rail Station,QDU,10:06,10:22,,2A,Deutsche Bahn AG,2A3502,Flight Landed
Frankfurt,FRA,08:45,08:58,1/B08,Milan Linate,LIN,09:55,10:05,,EN,Air Dolomiti,EN8800,Flight Landed
Frankfurt,FRA,08:45,09:19,1/A15,Berlin/Brandenburg,BER,09:55,10:18,1/B06,LH,Lufthansa,LH176,Flight Landed
Frankfurt,FRA,08:45,08:52,1/B19,Amsterdam,AMS,10:00,10:30,,OS,Austrian,OS988,Flight Landed
Frankfurt,FRA,08:45,08:53,1/A24,Zurich,ZRH,09:40,09:48,,LX,SWISS,LX1069,Flight Landed
Frankfurt,FRA,08:50,08:53,1/B06,Innsbruck,INN,10:00,09:59,,EN,Air Dolomiti,EN8050,Flight Landed
Frankfurt,FRA,08:50,08:51,1/A38,Lyon,LYS,10:05,10:03,,EW,Eurowings,EW1074,Flight Landed
Frankfurt,FRA,08:50,08:52,1/A56,Salzburg,SZG,09:50,09:40,,LH,Lufthansa,LH1102,Flight Landed
Frankfurt,FRA,08:50,09:04,1/A17,Palma De Mallorca,PMI,10:50,11:06,,LH,Lufthansa,LH1154,Flight Landed
Frankfurt,FRA,08:50,09:00,1/A26,Vienna,VIE,10:10,10:15,,OS,Austrian,OS1234,Flight Landed
Frankfurt,FRA,08:50,08:59,1/B10,Brussels,BRU,09:55,09:59,,SN,Brussels Airlines,SN2608,Flight Landed
Frankfurt,FRA,08:52,09:16,Station/T05,Stuttgart Rail Station,ZWS,10:26,10:40,,2A,Deutsche Bahn AG,2A3404,Flight Landed
Frankfurt,FRA,08:55,08:55,1/B13,Billund,BLL,10:15,10:06,,CL,Lufthansa Cityline,CL836,Flight Landed
Frankfurt,FRA,09:00,09:24,1/A19,Hamburg,HAM,10:05,10:26,,LH,Lufthansa,LH008,Flight Landed
Frankfurt,FRA,09:00,09:10,1/A04,Hannover,HAJ,09:50,09:55,,CL,Lufthansa Cityline,CL048,Flight Landed
Frankfurt,FRA,09:00,09:14,1/B01,Leipzig/ Halle,LEJ,10:00,10:01,,LH,Lufthansa,LH156,Flight Landed
Frankfurt,FRA,09:00,09:25,1/B11,Milan Malpensa,MXP,10:10,10:29,,LH,Lufthansa,LH246,Flight Landed
Frankfurt,FRA,09:00,09:29,1/B25,London Heathrow,LHR,09:45,10:17,,LH,Lufthansa,LH902,Flight Landed
Frankfurt,FRA,09:00,09:07,1/A14,Ljubljana,LJU,10:10,10:10,,CL,Lufthansa Cityline,CL1458,Flight Landed
Frankfurt,FRA,09:02,09:07,Station/T04,Erfurt Rail Station,XIU,11:38,11:39,,2A,Deutsche Bahn AG,2A3730,Flight Landed
Frankfurt,FRA,09:05,09:14,1/B31,London City,LCY,09:30,09:35,,CL,Lufthansa Cityline,CL928,Flight Landed
Frankfurt,FRA,09:05,09:20,1/A02,Geneva,GVA,10:10,10:25,,LX,SWISS,LX1081,Flight Landed
Frankfurt,FRA,09:09,09:18,Station/T06,Cologne central station,QKL,10:04,10:14,,2A,Deutsche Bahn AG,2A3606,Flight Landed
Frankfurt,FRA,09:09,09:18,Station/T06,Muenster/Osnabrueck Muenster Hbf,MKF,11:54,12:06,,2A,Deutsche Bahn AG,2A3644,Flight Landed
Frankfurt,FRA,09:10,09:16,1/A03,Dresden,DRS,10:10,10:02,,CL,Lufthansa Cityline,CL206,Flight Landed
Frankfurt,FRA,09:10,09:13,1/A60,Bremen,BRE,10:05,10:07,,LH,Lufthansa,LH352,Flight Landed
Frankfurt,FRA,09:10,09:13,1/B05,Luxembourg,LUX,09:50,09:52,,CL,Lufthansa Cityline,CL392,Flight Landed
Frankfurt,FRA,09:10,09:43,1/B12,Basel,BSL,10:00,10:24,,CL,Lufthansa Cityline,CL1202,Flight Landed
Frankfurt,FRA,09:15,09:15,1/B03,Dusseldorf,DUS,10:05,10:02,,LH,Lufthansa,LH074,Flight Landed
Frankfurt,FRA,09:15,09:11,1/A11,Munich,MUC,10:10,10:01,2/G30,LH,Lufthansa,LH098,Flight Landed
