airport_iata,airport_name,city_iata,utc_offset,timezone_id
AAA,Anaa,AAA,-10:00,Pacific/Tahiti
AAB,Arrabury,AAB,+10:00,Australia/Brisbane
AAC,El Arish International,AAC,+02:00,Africa/Cairo
AAD,Adado,AAD,+03:00,Africa/Mogadishu
AAE,Annaba Rabah Bitat,AAE,+01:00,Africa/Algiers
AAF,Apalachicola,AAF,-05:00,America/New_York
AAG,Arapoti Avelino Vieira,AAG,-03:00,America/Araguaina
AAH,Aachen Merzbrueck,AAH,+01:00,Europe/Berlin
AAI,Arraias,AAI,-03:00,America/Araguaina
AAJ,Awaradam Cajana,AAJ,-03:00,America/Paramaribo
AAK,Aranuka,AAK,+12:00,Pacific/Tarawa
AAL,Aalborg,AAL,+01:00,Europe/Copenhagen
AAM,Mala Mala,AAM,+02:00,Africa/Johannesburg
AAN,Al Ain International,AAN,+04:00,Asia/Dubai
AAO,Anaco,AAO,-04:00,America/Caracas
AAP,Houston Andrau Airpark,SRI,+08:00,Asia/Makassar
AAQ,Anapa,AAQ,+03:00,Europe/Moscow
AAR,Aarhus Tirstrup,AAR,+01:00,Europe/Copenhagen
AAS,Apalapsili,AAS,+09:00,Asia/Jayapura
AAT,Altay,AAT,+08:00,Asia/Shanghai
AAU,Asau,AAU,+13:00,Pacific/Apia
AAV,Surallah Allah Valley,AAV,+08:00,Asia/Manila
AAW,Aachen Bus station,AAH,+01:00,Europe/Berlin
AAX,Araxa,AAX,-03:00,America/Araguaina
AAY,Al Ghaydah,AAY,+03:00,Asia/Aden
AAZ,Quetzaltenango,AAZ,-06:00,America/Guatemala
ABA,Abakan,ABA,+07:00,Asia/Tomsk
ABB,Asaba International,ABB,+01:00,Africa/Lagos
ABC,Albacete Airport,ABC,+01:00,Europe/Madrid
ABD,Abadan,ABD,+03:30,Asia/Tehran
ABE,Allentown/Bethlehem,ABE,-05:00,America/New_York
ABF,Abaiang,ABF,+12:00,Pacific/Tarawa
ABG,Abingdon Downs,ABG,+10:00,Australia/Brisbane
ABH,Alpha,ABH,+10:00,Australia/Brisbane
ABI,Abilene,ABI,-06:00,America/Chicago
ABJ,Abidjan,ABJ,+00:00,Africa/Abidjan
ABK,Kabri Dar,ABK,+03:00,Africa/Addis_Ababa
ABL,Ambler,ABL,-09:00,America/Anchorage
ABM,Bamaga Northern Peninsula,ABM,+10:00,Australia/Brisbane
ABN,Albina,ABN,-03:00,America/Paramaribo
ABO,Aboisso,ABO,+00:00,Africa/Abidjan
ABP,Atkamba,ABP,+10:00,Pacific/Port_Moresby
ABQ,Albuquerque,ABQ,-07:00,America/Denver
ABR,Aberdeen (US),ABR,-06:00,America/Chicago
ABS,Abu Simbel,ABS,+02:00,Africa/Cairo
ABT,Al Baha Al-Aqiq,ABT,+03:00,Asia/Riyadh
ABU,Atambua Haliwen,ABU,+08:00,Asia/Makassar
ABV,Abuja,ABV,+01:00,Africa/Lagos
ABW,Abau,ABW,+10:00,Pacific/Port_Moresby
ABX,Albury,ABX,+10:00,Australia/Sydney
ABY,Albany (US),ABY,-05:00,America/New_York
ABZ,Aberdeen (GB),ABZ,+00:00,Europe/London
ACA,Acapulco,ACA,-06:00,America/Mexico_City
ACB,Bellaire Antrim County,ACB,-05:00,America/New_York
ACC,Accra,ACC,+00:00,Africa/Accra
ACD,Acandi,ACD,-05:00,America/Bogota
