city_iata,city_name,country_name
AAA,Anaa,French Polynesia
AAB,Arrabury,Australia
AAC,El Arish,Egypt
AAD,Adado,Somalia
AAE,Annaba,Algeria
AAF,Apalachicola,United States Of America
AAG,Arapoti,Brazil
AAH,Aachen,Germany
AAI,Arraias,Brazil
AAJ,Awaradam,Suriname
AAK,Aranuka,Kiribati
AAL,Aalborg,Denmark
AAM,Mala Mala,South Africa
AAN,Al Ain,United Arab Emirates
AAO,Anaco,Venezuela
AAQ,Anapa,Russian Federation
AAR,Aarhus,Denmark
AAS,Apalapsili,Indonesia
AAT,Altay,China
AAU,Asau,Samoa
AAV,Surallah,Philippines
AAW,Abbottabad,Pakistan
AAX,Araxa,Brazil
AAY,Al Ghaydah,Yemen
AAZ,Quetzaltenango,Guatemala
ABA,Abakan,Russian Federation
ABB,Asaba,Nigeria
ABC,Albacete,Spain
ABD,Abadan,Iran Islamic Republic Of
ABE,Allentown/Bethlehem/Easton,United States Of America
ABF,Abaiang,Kiribati
ABG,Abingdon Downs,Australia
ABH,Alpha,Australia
ABI,Abilene,United States Of America
ABJ,Abidjan,Cote D'ivoire
ABK,Kebri Dehar,Ethiopia
ABL,Ambler,United States Of America
ABM,Bamaga,Australia
ABN,Albina,Suriname
ABO,Aboisso,Cote D'ivoire
ABP,Atkamba,Papua New Guinea
ABQ,Albuquerque,United States Of America
ABR,Aberdeen,United States Of America
ABS,Abu Simbel,Egypt
ABT,Al Baha,Saudi Arabia
ABU,Atambua,Indonesia
ABV,Abuja,Nigeria
ABW,Abau,Papua New Guinea
ABX,Albury,Australia
ABY,Albany,United States Of America
ABZ,Aberdeen,United Kingdom
ACA,Acapulco,Mexico
ACB,Bellaire,United States Of America
ACC,Accra,Ghana
ACD,Acandi,Colombia
ACE,Lanzarote,Spain
ACF,Alaer,China
ACH,Altenrhein,Switzerland
ACI,Alderney,United Kingdom
ACJ,Anuradhapura,Sri Lanka
ACK,Nantucket,United States Of America
ACL,Aguaclara,Colombia
ACM,Arica,Colombia
ACN,Ciudad Acuna,Mexico
ACO,Ascona,Switzerland
ACP,Maragheh,Iran Islamic Republic Of
ACQ,Estacion De Alicante,Spain
ACR,Araracuara,Colombia
ACS,Achinsk,Russian Federation
ACT,Waco,United States Of America
ACU,Achutupo,Panama
ACV,Arcata/Eureka,United States Of America
ACX,Xingyi,China
ACY,Atlantic City,United States Of America
ACZ,Zabol,Iran Islamic Republic Of
ADA,Adana,Turkey
ADC,Andakombe,Papua New Guinea
ADD,Addis Ababa,Ethiopia
ADE,Aden,Yemen
ADF,Adiyaman,Turkey
ADG,Adrian,United States Of America
ADH,Aldan,Russian Federation
ADI,Arandis,
ADK,Adak Island,United States Of America
ADL,Adelaide,Australia
ADM,Ardmore,United States Of America
ADN,Andes,Colombia
ADO,Andamooka,Australia
ADP,Ampara,Sri Lanka
ADQ,Kodiak,United States Of America
ADR,Andrews,United States Of America
ADT,Ada,United States Of America
ADU,Ardabil,Iran Islamic Republic Of
ADV,Addeain,Sudan
ADW,Camp Springs,United States Of America
ADX,St Andrews,United Kingdom
ADY,Alldays,South Africa
ADZ,San Andres Island,Colombia
AEA,Abemama,Kiribati
AEB,Baise,China
AED,Aleneva,United States Of America
AEE,Adareil,South Sudan
AEG,Aek Godang,Indonesia
AEH,Abeche,Chad
AEI,Algeciras,Spain
AEJ,Ahmed Al Jaber,Kuwait
AEK,Aseki,Papua New Guinea
AEL,Albert Lea,United States Of America
AEM,Amgu,Russian Federation
AEO,Aioun El Atrouss,Mauritania
AEQ,Chifeng,China
AER,Sochi,Russian Federation
AES,Alesund,Norway
AET,Allakaket,United States Of America
AEU,Abu Musa Island,Iran Islamic Republic Of
AEX,Alexandria,United States Of America
AEY,Akureyri,Iceland
AFA,San Rafael,Argentina
AFD,Port Alfred,South Africa
AFI,Amalfi,Colombia
AFL,Alta Floresta,Brazil
AFN,Jaffrey,United States Of America
AFO,Afton,United States Of America
AFR,Afore,Papua New Guinea
AFS,Zarafshan,Uzbekistan
AFT,Afutara,Solomon Islands
AFU,Al Udeid,Qatar
AFY,Afyon,Turkey
AFZ,Sabzevar,Iran Islamic Republic Of
AGA,Agadir,Morocco
AGD,Anggi,Indonesia
AGE,Wangerooge,Germany
AGF,Agen,France
AGG,Angoram,Papua New Guinea
AGH,Angelholm/Helsingborg,Sweden
AGI,Wageningen,Suriname
AGJ,Aguni,Japan
AGK,Kagua,Papua New Guinea
AGL,Wanigela,Papua New Guinea
AGM,Tasiilaq,Greenland
AGN,Angoon,United States Of America
AGO,Magnolia,United States Of America
AGP,Malaga,Spain
AGQ,Agrinion,Greece
AGR,Agra,India
AGS,Augusta,United States Of America
AGT,Ciudad Del Este,Paraguay
AGU,Aguascalientes,Mexico
AGV,Acarigua,Venezuela
AGW,Agnew,Australia
AGX,Agatti Island,India
AGZ,Aggeneys,South Africa
AHB,Abha,Saudi Arabia
AHC,Herlong,United States Of America
AHE,Ahe,French Polynesia
AHF,Arapahoe,United States Of America
AHH,Amery,United States Of America
AHI,Amahai,Indonesia
AHJ,Aba Hongyuan,China
AHL,Aishalton,Guyana
AHM,Ashland,United States Of America
AHN,Athens,United States Of America
AHO,Alghero,Italy
AHS,Ahuas,Honduras
AHT,Amchitka,United States Of America
AHU,Al Hoceima,Morocco
AHW,Saih Rawl,Oman
AHY,Ambatolahy,Madagascar
AHZ,L'alpe-D'huez,France
AIA,Alliance,United States Of America
AIB,Anita Bay,United States Of America
AIC,Airok,Marshall Islands
AID,Anderson,United States Of America
AIE,Aiome,Papua New Guinea
AIF,Assis,Brazil
AIG,Yalinga,Central African Republic
AIH,Aiambak,Papua New Guinea
AII,Ali Sabieh,Djibouti
AIK,Aiken,United States Of America
AIL,Ailigandi,Panama
AIM,Ailuk Island,Marshall Islands
AIN,Wainwright,United States Of America
AIO,Atlantic,United States Of America
AIP,Adampur,India
AIR,Aripuana,Brazil
AIS,Arorae,Kiribati
AIT,Aitutaki Island,Cook Islands
AIU,Atiu Island,Cook Islands
AIV,Aliceville,United States Of America
AIW,Ai-Ais,
AIY,Atlantic City,United States Of America
AIZ,Kaiser/Lake Of The Ozarks,United States Of America
AJA,Ajaccio,France
AJF,Jouf,Saudi Arabia
AJI,Agri,Turkey
AJJ,Akjoujt,Mauritania
AJK,Araak,Iran Islamic Republic Of
AJL,Aizawl,India
AJN,Anjouan,Comoros
AJO,Aljouf,Yemen
AJR,Arvidsjaur,Sweden
AJS,Punta Abreojos,Mexico
AJU,Aracaju,Brazil
AJY,Agadez,Niger
AKA,Ankang,China
AKB,Atka,United States Of America
AKD,Akola,India
AKE,Akieni,Gabon
AKF,Kufra,Libya
AKG,Anguganak,Papua New Guinea
AKH,Al Kharj,Saudi Arabia
AKI,Akiak,United States Of America
AKJ,Asahikawa,Japan
AKK,Akhiok,United States Of America
AKL,Auckland,New Zealand
AKM,Zakouma,Chad
AKN,King Salmon,United States Of America
AKO,Akron,United States Of America
AKP,Anaktuvuk Pass,United States Of America
AKQ,Menggala,Indonesia
AKR,Akure,Nigeria
AKS,Auki,Solomon Islands
AKT,Akrotiri,Cyprus
AKU,Aksu,China
AKV,Akulivik,Canada
AKW,Aghajari,Iran Islamic Republic Of
AKX,Aktobe,Kazakhstan
AKY,Sittwe,Myanmar
ALA,Almaty,Kazakhstan
ALB,Albany,United States Of America
ALC,Alicante,Spain
ALD,Alerta,Peru
ALE,Alpine,United States Of America
ALF,Alta,Norway
ALG,Algiers,Algeria
ALH,Albany,Australia
ALI,Alice,United States Of America
ALJ,Alexander Bay,South Africa
ALK,Asela,Ethiopia
ALL,Albenga,Italy
ALM,Alamogordo,United States Of America
ALN,Alton,United States Of America
ALO,Waterloo,United States Of America
ALP,Aleppo,Syrian Arab Republic
ALQ,Alegrete,Brazil
ALR,Alexandra,New Zealand
ALS,Alamosa,United States Of America
ALT,Alenquer,Brazil
ALU,Alula,Somalia
ALV,Andorra La Vella,Andorra
ALW,Walla Walla,United States Of America
ALX,Alexander City,United States Of America
ALY,Alexandria,Egypt
ALZ,Alitak,United States Of America
AMA,Amarillo,United States Of America
AMB,Ambilobe,Madagascar
AMC,Am Timan,Chad
AMD,Ahmedabad,India
AME,Alto Molocue,Mozambique
AMF,Ama,Papua New Guinea
AMG,Amboin,Papua New Guinea
AMH,Arba Minch,Ethiopia
AMI,Mataram,Indonesia
AMJ,Almenara,Brazil
AML,Puerto Armuelles,Panama
AMM,Amman,Jordan
AMN,Alma,United States Of America
AMO,Mao,Chad
AMP,Ampanihy,Madagascar
AMQ,Ambon,Indonesia
AMS,Amsterdam,Netherlands
AMT,Amata,Australia
AMU,Amanab,Papua New Guinea
AMV,Amderma,Russian Federation
AMW,Ames,United States Of America
AMX,Ammaroo,Australia
AMY,Ambatomainty,Madagascar
AMZ,Ardmore,New Zealand
ANA,Masai Mara,Kenya
ANB,Anniston,United States Of America
ANC,Anchorage,United States Of America
AND,Anderson,United States Of America
ANE,Angers,France
ANF,Antofagasta,Chile
ANG,Angouleme,France
ANH,Anuha Island Resort,Solomon Islands
ANI,Aniak,United States Of America
ANJ,Zanaga,Congo
ANK,Ankara,Turkey
ANL,Andulo,Angola
ANM,Antalaha,Madagascar
ANN,Annette Island,United States Of America
ANO,Angoche,Mozambique
ANP,Annapolis,United States Of America
ANQ,Angola,United States Of America
ANR,Antwerp,Belgium
ANS,Andahuaylas,Peru
ANT,St Anton,Austria
ANU,Antigua,"Antigua And Barbuda, Leeward Islands"
ANV,Anvik,United States Of America
ANW,Ainsworth,United States Of America
ANX,Andenes,Norway
ANY,Anthony,United States Of America
ANZ,Angus Downs Station,Australia
AOA,Aroa,Papua New Guinea
AOB,Annanberg,Papua New Guinea
AOC,Altenburg,Germany
AOD,Abou Deia,Chad
AOG,Anshan,China
AOH,Lima,United States Of America
AOI,Ancona,Italy
AOJ,Aomori,Japan
AOK,Karpathos,Greece
AOL,Paso De Los Libres,Argentina
AOM,Adam,Oman
AON,Arona,Papua New Guinea
AOO,Altoona,United States Of America
AOP,Andoas,Peru
AOQ,Aappilattoq,Greenland
AOR,Alor Setar,Malaysia
AOS,Amook Bay,United States Of America
AOT,Aosta,Italy
AOU,Attapeu,Lao People's Democratic Republic
APB,Apolo,Bolivia
APC,Napa,United States Of America
APE,San Juan Aposento,Peru
APF,Naples,United States Of America
APG,Aberdeen,United States Of America
APH,Bowling Green,United States Of America
API,Apiay,Colombia
APK,Apataki,French Polynesia
APL,Nampula,Mozambique
APN,Alpena,United States Of America
APO,Apartado,Colombia
APP,Asapa,Papua New Guinea
APQ,Arapiraca,Brazil
APR,April River,Papua New Guinea
APS,Anapolis,Brazil
APT,Jasper,United States Of America
APU,Apucarana,Brazil
