origin,destination
HAM,FRA
FRA,HAM
FRA,BER
BER,FRA
FRA,HAJ
HAJ,FRA
FRA,FMO
FMO,FRA
FRA,DUS
DUS,FRA
FRA,MUC
MUC,FRA
FRA,STR
STR,FRA
FRA,NUE
NUE,FRA
FRA,LEJ
LEJ,FRA
FRA,DRS
DRS,FRA
FRA,GWT
GWT,FRA
FRA,TRS
TRS,FRA
FRA,FCO
FCO,FRA
FRA,MXP
MXP,FRA
FRA,LIN
LIN,FRA
FRA,BLQ
BLQ,FRA
FRA,BRI
BRI,FRA
FRA,CTA
CTA,FRA
FRA,OLB
OLB,FRA
FRA,NAP
NAP,FRA
FRA,VCE
VCE,FRA
FRA,PMO
PMO,FRA
FRA,CAG
CAG,FRA
FRA,BRE
BRE,FRA
FRA,FDH
FDH,FRA
FRA,LUX
LUX,FRA
FRA,JFK
JFK,FRA
FRA,EWR
EWR,FRA
MUC,JFK
JFK,MUC
MUC,EWR
EWR,MUC
MUC,IAD
IAD,MUC
FRA,IAD
IAD,FRA
FRA,BOS
BOS,FRA
MUC,BOS
BOS,MUC
FRA,PHL
PHL,FRA
MUC,CLT
CLT,MUC
FRA,ORD
ORD,FRA
MUC,ORD
ORD,MUC
FRA,DFW
DFW,FRA
FRA,IAH
IAH,FRA
FRA,DTW
DTW,FRA
FRA,ATL
ATL,FRA
FRA,DEN
DEN,FRA
FRA,STL
STL,FRA
FRA,LAX
LAX,FRA
MUC,LAX
LAX,MUC
FRA,SFO
SFO,FRA
MUC,SFO
SFO,MUC
MUC,MIA
MIA,MUC
FRA,MIA
MIA,FRA
FRA,MCO
MCO,FRA
MUC,SAN
SAN,MUC
FRA,AUS
AUS,FRA
FRA,YYZ
YYZ,FRA
MUC,YUL
YUL,MUC
MUC,YVR
YVR,MUC
MUC,DEN
DEN,MUC
FRA,SEA
SEA,FRA
FRA,YVR
YVR,FRA
MUC,YYZ
YYZ,MUC
FRA,MEX
MEX,MUC
MEX,FRA
MUC,GIG
GIG,MUC
FRA,GRU
GRU,FRA
FRA,EZE
EZE,FRA
FRA,SJO
SJO,FRA
FRA,BOG
BOG,FRA
FRA,LAD
LAD,FRA
FRA,LOS
SSG,LOS
FRA,JNB
JNB,FRA
MUC,CPT
CPT,MUC
FRA,CPT
CPT,FRA
FRA,CAI
CAI,FRA
MUC,CAI
CAI,MUC
FRA,NBO
NBO,FRA
FRA,ABV
PHC,ABV
FRA,IKA
IKA,FRA
FRA,GYD
GYD,FRA
FRA,KWI
DMM,KWI
FRA,DXB
DXB,FRA
FRA,RUH
BAH,RUH
MUC,DXB
DXB,MUC
FRA,NQZ
ALA,FRA
FRA,ALA
ALA,NQZ
MUC,TLV
TLV,MUC
FRA,TLV
TLV,FRA
FRA,AMM
AMM,FRA
FRA,EBL
EBL,FRA
FRA,ICN
ICN,FRA
MUC,HND
HND,MUC
FRA,HND
HND,FRA
MUC,ICN
ICN,MUC
FRA,PEK
PEK,FRA
FRA,PVG
PVG,FRA
FRA,BLR
BLR,FRA
FRA,BOM
BOM,FRA
FRA,MAA
MAA,FRA
FRA,DEL
DEL,FRA
MUC,DEL
DEL,MUC
MUC,BOM
BOM,MUC
MUC,BKK
BKK,MUC
FRA,SIN
SIN,FRA
FRA,TAO
MUC,SIN
SIN,MUC
FRA,HKG
HKG,FRA
FRA,ARN
ARN,FRA
FRA,GOT
GOT,FRA
FRA,CPH
CPH,FRA
FRA,BLL
BLL,FRA
FRA,HEL
HEL,FRA
FRA,KEF
KEF,FRA
FRA,OSL
OSL,FRA
FRA,TOS
TOS,FRA
FRA,BGO
BGO,FRA
FRA,SVG
SVG,FRA
FRA,TLL
TLL,FRA
FRA,VNO
VNO,FRA
FRA,RIX
RIX,FRA
FRA,BOD
BOD,FRA
FRA,LHR
LHR,FRA
FRA,MRS
MRS,FRA
TLS,FRA
FRA,LCY
LCY,FRA
FRA,MAN
MAN,FRA
FRA,NCL
NCL,FRA
FRA,BHX
BHX,FRA
FRA,GLA
GLA,FRA
FRA,EDI
EDI,FRA
FRA,LPL
LPL,FRA
FRA,BRS
BRS,FRA
FRA,DUB
DUB,FRA
FRA,ORK
ORK,FRA
FRA,AMS
AMS,FRA
FRA,BRU
BRU,FRA
FRA,CDG
CDG,FRA
FRA,NTE
NTE,FRA
FRA,NCE
NCE,FRA
FRA,RNS
RNS,FRA
FRA,LYS
LYS,FRA
FRA,BIA
BIA,FRA
FRA,TLS
FRA,SZG
SZG,FRA
FRA,SCQ
SCQ,FRA
FRA,MAD
MAD,FRA
FRA,AGP
AGP,FRA
FRA,BCN
BCN,FRA
FRA,SVQ
SVQ,FRA
FRA,BIO
BIO,FRA
FRA,PMI
PMI,FRA
FRA,IBZ
IBZ,FRA
FRA,VLC
VLC,FRA
FRA,FAO
FAO,FRA
FRA,LIS
LIS,FRA
FRA,FNC
FNC,FRA
FRA,ALC
ALC,FRA
FRA,OPO
OPO,FRA
FRA,ZRH
ZRH,FRA
FRA,BSL
BSL,FRA
FRA,GVA
GVA,FRA
VIE,FRA
FRA,VIE
FRA,RHO
RHO,FRA
FRA,GRZ
GRZ,FRA
FRA,MLA
MLA,FRA
FRA,ATH
ATH,FRA
FRA,JTR
JTR,FRA
FRA,LCA
LCA,FRA
FRA,HER
HER,FRA
FRA,IST
IST,FRA
FRA,BEY
BEY,FRA
FRA,ALG
ALG,FRA
FRA,TUN
TUN,FRA
FRA,CMN
CMN,FRA
FRA,BUD
BUD,FRA
FRA,WAW
WAW,FRA
FRA,KTW
KTW,FRA
FRA,WRO
WRO,FRA
FRA,GDN
GDN,FRA
FRA,KRK
KRK,FRA
FRA,POZ
POZ,FRA
FRA,PRG
PRG,FRA
FRA,ZAG
ZAG,FRA
FRA,BEG
BEG,FRA
FRA,SPU
SPU,FRA
FRA,DBV
DBV,FRA
FRA,OTP
OTP,FRA
FRA,TIA
TIA,FRA
FRA,SOF
SOF,FRA
FRA,LJU
LJU,FRA
FRA,TSR
TSR,FRA
FRA,CLJ
CLJ,FRA
FRA,ZAD
ZAD,FRA
FRA,PUY
PUY,FRA
FRA,MAH
MAH,FRA
FRA,JMK
JMK,FRA
FRA,CHQ
CHQ,FRA
FRA,SJJ
SJJ,FRA
FRA,PDL
PDL,FRA
FRA,SKG
SKG,FRA
FRA,EVN
EVN,FRA
MUC,WAW
WAW,MUC
MUC,KRK
KRK,MUC
MUC,WRO
WRO,MUC
MUC,POZ
POZ,MUC
MUC,GDN
GDN,MUC
MUC,OTP
OTP,MUC
MUC,TSR
TSR,MUC
MUC,SBZ
SBZ,MUC
MUC,CLJ
CLJ,MUC
MUC,BUD
BUD,MUC
MUC,DEB
DEB,MUC
PRG,MUC
MUC,PRG
MUC,LJU
LJU,MUC
MUC,SOF
SOF,MUC
MUC,DBV
DBV,MUC
MUC,TIA
TIA,MUC
MUC,SPU
SPU,MUC
MUC,ZAG
ZAG,MUC
MUC,BEG
BEG,MUC
MUC,TUN
TUN,MUC
MUC,KLX
KLX,MUC
MUC,RHO
RHO,MUC
MUC,ATH
ATH,MUC
MUC,HER
HER,MUC
MUC,JTR
JTR,MUC
MUC,CFU
CFU,MUC
MUC,LCA
LCA,MUC
MUC,SKG
SKG,MUC
MUC,LIS
LIS,MUC
MUC,OPO
OPO,MUC
MUC,FAO
FAO,MUC
MUC,FNC
FNC,MUC
MUC,PMI
PMI,MUC
MUC,MAD
MAD,MUC
MUC,BCN
BCN,MUC
MUC,IBZ
IBZ,MUC
MUC,SVQ
SVQ,MUC
MUC,BIO
BIO,MUC
MUC,AGP
AGP,MUC
MUC,LPA
LPA,MUC
MUC,MAH
MAH,MUC
MUC,TFS
TFS,MUC
MUC,VLC
VLC,MUC
MUC,XRY
XRY,MUC
MUC,ALC
ALC,MUC
MXP,MUC
MUC,MXP
MUC,FCO
FCO,MUC
MUC,NAP
NAP,MUC
MUC,GOA
GOA,MUC
MUC,AOI
AOI,MUC
MUC,CTA
CTA,MUC
MUC,OLB
OLB,MUC
MUC,PMO
PMO,MUC
MUC,CAG
CAG,MUC
MUC,MLA
MLA,MUC
MUC,BER
BER,MUC
MUC,CGN
CGN,MUC
MUC,DUS
DUS,MUC
MUC,HAM
HAM,MUC
MUC,HAJ
HAJ,MUC
MUC,DRS
DRS,MUC
MUC,FMO
FMO,MUC
MUC,STR
STR,MUC
MUC,LEJ
LEJ,MUC
MUC,PAD
PAD,MUC
MUC,GWT
GWT,MUC
MUC,BRE
BRE,MUC
MUC,ORY
ORY,MUC
MUC,TLS
TLS,MUC
MUC,CDG
CDG,MUC
MUC,LYS
LYS,MUC
MUC,MRS
MRS,MUC
MUC,NCE
NCE,MUC
MUC,BRU
BRU,MUC
MUC,AMS
AMS,MUC
MUC,LUX
